index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
14-17-07,0.0,82.0,1.0,0.0,0.0,0.0
14-17-12,0.0,19.0,1.0,0.0,0.0,0.0
14-17-13,5.0,175.0,1.0,5.0,5.0,0.0
14-17-26,0.0,133.0,1.0,0.0,0.0,0.0
14-17-34,0.0,98.0,1.0,0.0,0.0,0.0
14-17-42,2.0,323.0,1.0,2.0,2.0,0.0
14-17-56,0.0,149.0,1.0,0.0,0.0,0.0
14-18-07,1.0,264.0,1.0,1.0,1.0,0.0
14-18-41,3.0,60.0,1.0,3.0,3.0,0.0
14-18-44,0.0,31.0,1.0,0.0,0.0,0.0
14-18-46,1.0,59.0,1.0,1.0,1.0,0.0
14-18-49,0.0,114.0,1.0,0.0,0.0,0.0
14-18-55,0.0,47.0,1.0,0.0,0.0,0.0
14-18-57,5.0,335.0,1.0,5.0,5.0,0.0
14-19-27,0.0,110.0,1.0,0.0,0.0,0.0
14-19-34,0.0,212.0,1.0,0.0,0.0,0.0
14-19-52,0.0,28.0,1.0,0.0,0.0,0.0
14-19-54,0.0,5.0,1.0,0.0,0.0,0.0
14-19-55,4.0,179.0,1.0,4.0,0.0,1.0
14-20-08,0.0,199.0,1.0,0.0,0.0,0.0
14-20-18,4.0,197.0,1.0,4.0,0.0,1.0
14-20-36,8.0,235.0,1.0,8.0,0.0,2.0
14-20-59,0.0,209.0,1.0,0.0,0.0,0.0
14-21-11,0.0,193.0,1.0,0.0,0.0,0.0
14-21-21,42.0,132.0,1.0,42.0,2.0,10.0
14-21-32,0.0,518.0,1.0,0.0,0.0,0.0
14-22-03,0.0,426.0,1.0,0.0,0.0,0.0
14-22-37,0.0,42.0,1.0,0.0,0.0,0.0
14-22-39,0.0,142.0,1.0,0.0,0.0,0.0
14-22-52,0.0,210.0,1.0,0.0,0.0,0.0
14-23-04,0.0,267.0,1.0,0.0,0.0,0.0
14-23-20,0.0,104.0,1.0,0.0,0.0,0.0
14-23-28,0.0,35.0,1.0,0.0,0.0,0.0
14-23-31,4.0,334.0,1.0,4.0,0.0,1.0
14-23-50,0.0,38.0,1.0,7.0,7.0,0.0
14-23-54,1.0,33.0,1.0,1.0,1.0,0.0
14-23-56,0.0,73.0,1.0,0.0,0.0,0.0
14-24-00,0.0,83.0,1.0,0.0,0.0,0.0
14-24-04,20.0,399.0,1.0,20.0,4.0,4.0
14-24-36,2.0,72.0,1.0,2.0,2.0,0.0
14-24-41,32.0,497.0,1.0,32.0,4.0,6.0
14-25-19,41.0,166.0,1.0,41.0,7.0,6.0
14-25-35,48.0,179.0,1.0,48.0,0.0,12.0
14-25-49,7.0,131.0,1.0,7.0,7.0,0.0
14-25-57,4.0,170.0,1.0,4.0,0.0,1.0
14-26-11,22.0,228.0,1.0,22.0,2.0,5.0
14-26-24,16.0,133.0,1.0,16.0,0.0,4.0
14-26-29,10.0,89.0,1.0,10.0,0.0,0.0
14-26-33,0.0,71.0,1.0,0.0,0.0,0.0
14-26-36,4.0,219.0,1.0,4.0,4.0,0.0
14-26-51,4.0,125.0,1.0,4.0,4.0,0.0
14-26-59,0.0,115.0,1.0,0.0,0.0,0.0
14-27-07,5.0,95.0,1.0,5.0,5.0,0.0
14-27-12,28.0,266.0,1.0,28.0,4.0,6.0
14-27-36,20.0,12.0,1.0,20.0,0.0,5.0
14-27-37,0.0,126.0,1.0,4.0,4.0,0.0
14-27-47,0.0,134.0,1.0,0.0,0.0,0.0
14-27-57,0.0,148.0,1.0,0.0,0.0,0.0
14-28-06,60.0,104.0,1.0,60.0,0.0,15.0
14-28-11,3.0,121.0,1.0,3.0,3.0,0.0
14-28-18,3.0,78.0,1.0,3.0,3.0,0.0
