index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
17-32-09,4.0,1214.0,1.0,4.0,4.0,0.0
17-32-20,0.0,348.0,1.0,0.0,0.0,0.0
17-32-22,10.0,2228.0,1.0,10.0,0.0,0.0
17-32-33,4.0,862.0,1.0,4.0,4.0,0.0
17-32-44,0.0,2329.0,1.0,0.0,0.0,0.0
17-32-57,1.0,156.0,1.0,1.0,1.0,0.0
17-32-59,0.0,647.0,1.0,0.0,0.0,0.0
17-33-04,0.0,872.0,1.0,0.0,0.0,0.0
17-33-10,0.0,452.0,1.0,0.0,0.0,0.0
17-33-15,0.0,2366.0,1.0,0.0,0.0,0.0
17-33-23,4.0,2539.0,1.0,4.0,4.0,0.0
17-33-41,0.0,4328.0,1.0,0.0,0.0,0.0
17-34-01,0.0,1365.0,1.0,0.0,0.0,0.0
17-34-12,1.0,1352.0,1.0,1.0,1.0,0.0
17-34-22,0.0,1643.0,1.0,0.0,0.0,0.0
17-34-36,0.0,587.0,1.0,0.0,0.0,0.0
17-34-43,0.0,232.0,1.0,0.0,0.0,0.0
17-34-45,0.0,2439.0,1.0,0.0,0.0,0.0
17-34-56,0.0,1279.0,1.0,0.0,0.0,0.0
17-35-12,0.0,2308.0,1.0,0.0,0.0,0.0
17-35-22,0.0,555.0,1.0,0.0,0.0,0.0
17-35-27,0.0,385.0,1.0,0.0,0.0,0.0
17-35-30,0.0,290.0,1.0,0.0,0.0,0.0
17-35-31,0.0,2063.0,1.0,0.0,0.0,0.0
17-35-42,0.0,2255.0,1.0,0.0,0.0,0.0
17-35-57,0.0,2048.0,1.0,0.0,0.0,0.0
17-36-07,0.0,2032.0,1.0,0.0,0.0,0.0
17-36-18,7.0,3157.0,1.0,7.0,7.0,0.0
